run_id,index_in_run,step,type_id,moved,reason,row,col,like_neighbors,unlike_neighbors,share_same,experiment,scenario,type_label
0,1,0,0,False,chose_to_stay,1,6,2,4,0.3333333333333333,llm_AB_20250804_153344,AB,resident group A
0,2,0,1,False,chose_to_stay,9,3,2,2,0.5,llm_AB_20250804_153344,AB,resident group B
0,3,0,1,False,chose_to_stay,1,1,4,3,0.5714285714285714,llm_AB_20250804_153344,AB,resident group B
0,4,0,0,False,chose_to_stay,6,7,2,5,0.2857142857142857,llm_AB_20250804_153344,AB,resident group A
0,5,0,0,False,chose_to_stay,0,8,2,1,0.6666666666666666,llm_AB_20250804_153344,AB,resident group A
0,6,0,0,False,chose_to_stay,2,6,1,6,0.14285714285714285,llm_AB_20250804_153344,AB,resident group A
0,7,0,0,False,chose_to_stay,1,4,2,3,0.4,llm_AB_20250804_153344,AB,resident group A
0,8,0,1,False,chose_to_stay,4,6,7,0,1.0,llm_AB_20250804_153344,AB,resident group B
0,9,0,0,False,chose_to_stay,3,1,4,1,0.8,llm_AB_20250804_153344,AB,resident group A
0,10,0,1,False,chose_to_stay,5,5,4,4,0.5,llm_AB_20250804_153344,AB,resident group B
0,11,0,1,False,chose_to_stay,4,9,1,4,0.2,llm_AB_20250804_153344,AB,resident group B
0,12,0,1,False,chose_to_stay,8,3,3,3,0.5,llm_AB_20250804_153344,AB,resident group B
0,13,0,1,False,chose_to_stay,9,6,2,1,0.6666666666666666,llm_AB_20250804_153344,AB,resident group B
0,14,0,1,False,chose_to_stay,7,5,1,5,0.16666666666666666,llm_AB_20250804_153344,AB,resident group B
0,15,0,0,False,chose_to_stay,2,0,2,2,0.5,llm_AB_20250804_153344,AB,resident group A
0,16,0,1,False,chose_to_stay,7,1,2,5,0.2857142857142857,llm_AB_20250804_153344,AB,resident group B
0,17,0,0,False,chose_to_stay,9,4,0,3,0.0,llm_AB_20250804_153344,AB,resident group A
0,18,0,1,False,chose_to_stay,4,4,4,3,0.5714285714285714,llm_AB_20250804_153344,AB,resident group B
0,19,0,0,False,chose_to_stay,0,4,1,3,0.25,llm_AB_20250804_153344,AB,resident group A
0,20,0,1,False,chose_to_stay,4,5,6,2,0.75,llm_AB_20250804_153344,AB,resident group B
0,21,0,0,False,chose_to_stay,7,9,3,1,0.75,llm_AB_20250804_153344,AB,resident group A
0,22,0,0,False,chose_to_stay,4,8,3,4,0.42857142857142855,llm_AB_20250804_153344,AB,resident group A
0,23,0,0,False,chose_to_stay,7,4,2,4,0.3333333333333333,llm_AB_20250804_153344,AB,resident group A
0,24,0,1,False,chose_to_stay,5,8,2,4,0.3333333333333333,llm_AB_20250804_153344,AB,resident group B
0,25,0,0,False,chose_to_stay,3,8,2,4,0.3333333333333333,llm_AB_20250804_153344,AB,resident group A
0,26,0,1,False,chose_to_stay,9,1,3,1,0.75,llm_AB_20250804_153344,AB,resident group B
0,27,0,0,False,chose_to_stay,8,8,3,3,0.5,llm_AB_20250804_153344,AB,resident group A
0,28,0,0,False,chose_to_stay,1,0,2,3,0.4,llm_AB_20250804_153344,AB,resident group A
0,29,0,1,False,chose_to_stay,5,6,4,3,0.5714285714285714,llm_AB_20250804_153344,AB,resident group B
0,30,0,0,False,chose_to_stay,8,9,3,1,0.75,llm_AB_20250804_153344,AB,resident group A
0,31,0,1,False,chose_to_stay,7,7,2,5,0.2857142857142857,llm_AB_20250804_153344,AB,resident group B
0,32,0,0,False,chose_to_stay,6,8,3,4,0.42857142857142855,llm_AB_20250804_153344,AB,resident group A
0,33,0,1,False,chose_to_stay,8,7,3,2,0.6,llm_AB_20250804_153344,AB,resident group B
0,34,0,0,False,chose_to_stay,0,0,1,2,0.3333333333333333,llm_AB_20250804_153344,AB,resident group A
0,35,0,1,False,chose_to_stay,0,2,4,0,1.0,llm_AB_20250804_153344,AB,resident group B
0,36,0,1,False,chose_to_stay,5,3,3,4,0.42857142857142855,llm_AB_20250804_153344,AB,resident group B
0,37,0,0,False,chose_to_stay,9,9,2,0,1.0,llm_AB_20250804_153344,AB,resident group A
0,38,0,0,False,chose_to_stay,4,2,5,2,0.7142857142857143,llm_AB_20250804_153344,AB,resident group A
0,39,0,0,False,chose_to_stay,3,4,2,3,0.4,llm_AB_20250804_153344,AB,resident group A
0,40,0,1,False,chose_to_stay,1,2,5,0,1.0,llm_AB_20250804_153344,AB,resident group B
0,41,0,1,False,chose_to_stay,3,6,5,1,0.8333333333333334,llm_AB_20250804_153344,AB,resident group B
0,42,0,0,False,chose_to_stay,1,9,1,1,0.5,llm_AB_20250804_153344,AB,resident group A
0,43,0,0,False,chose_to_stay,6,4,3,4,0.42857142857142855,llm_AB_20250804_153344,AB,resident group A
0,44,0,1,False,chose_to_stay,8,5,2,3,0.4,llm_AB_20250804_153344,AB,resident group B
0,45,0,0,False,chose_to_stay,8,6,0,5,0.0,llm_AB_20250804_153344,AB,resident group A
