llm_model,metric,scenario,scenario_label,rank,mean_value,std_value,n_runs,significant_vs_next,p_value_vs_next,test_vs_next,excess_vs_chance,significant_vs_chance,p_value_vs_chance
granite-4.2-30b-vf-lp,clusters,political_liberal_conservative,Political (Liberal/Conservative),6,90.1929,9.089651,10000,,,,5.8824,***,0.0
granite-4.2-30b-vf-lp,switch_rate,llm_baseline,Color (Red/Blue),1,0.502022,0.020408,10000,,0.664978,paired t,-0.000337,,0.0
granite-4.2-30b-vf-lp,switch_rate,political_liberal_conservative,Political (Liberal/Conservative),2,0.501992,0.020429,10000,*,0.016517,paired t,-0.000307,,0.0
granite-4.2-30b-vf-lp,switch_rate,income_high_low,Economic (High/Low Income),3,0.501857,0.020083,10000,***,0.0,paired t,-0.000172,,0.0
granite-4.2-30b-vf-lp,switch_rate,green_yellow,Color (Green/Yellow),4,0.501691,0.019965,10000,,0.453934,paired t,-6e-06,,0.07108
granite-4.2-30b-vf-lp,switch_rate,race_white_black,Racial (White/Black),5,0.501688,0.019961,10000,,0.475612,paired t,-2e-06,,0.516623
granite-4.2-30b-vf-lp,switch_rate,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.501685,0.019963,10000,,,,0.0,,0.861486
granite-4.2-30b-vf-lp,distance,llm_baseline,Color (Red/Blue),1,1.179438,0.034161,10000,*,0.018044,paired t,0.028265,***,0.0
granite-4.2-30b-vf-lp,distance,political_liberal_conservative,Political (Liberal/Conservative),2,1.178962,0.034244,10000,***,0.0,paired t,0.027789,***,0.0
granite-4.2-30b-vf-lp,distance,income_high_low,Economic (High/Low Income),3,1.157281,0.028752,10000,***,0.0,paired t,0.006107,***,0.0
granite-4.2-30b-vf-lp,distance,race_white_black,Racial (White/Black),4,1.151309,0.026782,10000,***,7e-06,paired t,0.000136,***,0.0
granite-4.2-30b-vf-lp,distance,green_yellow,Color (Green/Yellow),5,1.151252,0.026811,10000,***,0.0,paired t,7.8e-05,***,0.0
granite-4.2-30b-vf-lp,distance,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,1.151186,0.026751,10000,,,,1.2e-05,**,0.002541
granite-4.2-30b-vf-lp,mix_deviation,llm_baseline,Color (Red/Blue),1,0.168993,0.010763,10000,***,0.0,paired t,0.001094,***,0.0
granite-4.2-30b-vf-lp,mix_deviation,political_liberal_conservative,Political (Liberal/Conservative),2,0.168793,0.010835,10000,***,0.0,paired t,0.000895,***,0.0
granite-4.2-30b-vf-lp,mix_deviation,income_high_low,Economic (High/Low Income),3,0.168296,0.010214,10000,***,0.0,paired t,0.000398,***,0.0
granite-4.2-30b-vf-lp,mix_deviation,race_white_black,Racial (White/Black),4,0.167906,0.010026,10000,,0.051766,paired t,7e-06,***,0.000189
granite-4.2-30b-vf-lp,mix_deviation,green_yellow,Color (Green/Yellow),5,0.167902,0.010028,10000,*,0.044437,paired t,4e-06,*,0.015732
granite-4.2-30b-vf-lp,mix_deviation,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.167899,0.010024,10000,,,,0.0,,0.304995
granite-4.2-30b-vf-lp,share,llm_baseline,Color (Red/Blue),1,0.510741,0.017848,10000,*,0.030192,paired t,0.012351,***,0.0
granite-4.2-30b-vf-lp,share,political_liberal_conservative,Political (Liberal/Conservative),2,0.510589,0.017866,10000,***,0.0,paired t,0.012199,***,0.0
granite-4.2-30b-vf-lp,share,income_high_low,Economic (High/Low Income),3,0.5013,0.016818,10000,***,0.0,paired t,0.002909,***,0.0
granite-4.2-30b-vf-lp,share,race_white_black,Racial (White/Black),4,0.498456,0.016317,10000,***,2e-06,paired t,6.6e-05,***,0.0
granite-4.2-30b-vf-lp,share,green_yellow,Color (Green/Yellow),5,0.49843,0.016326,10000,***,0.0,paired t,4e-05,***,0.0
granite-4.2-30b-vf-lp,share,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.498395,0.016313,10000,,,,4e-06,***,0.000812
granite-4.2-30b-vf-lp,ghetto_rate,llm_baseline,Color (Red/Blue),1,13.6837,5.356783,10000,**,0.002944,paired t,4.5415,***,0.0
granite-4.2-30b-vf-lp,ghetto_rate,political_liberal_conservative,Political (Liberal/Conservative),2,13.5799,5.390299,10000,***,0.0,paired t,4.4377,***,0.0
granite-4.2-30b-vf-lp,ghetto_rate,income_high_low,Economic (High/Low Income),3,10.1114,4.37526,10000,***,0.0,paired t,0.9692,***,0.0
granite-4.2-30b-vf-lp,ghetto_rate,race_white_black,Racial (White/Black),4,9.164,4.004311,10000,***,2.1e-05,paired t,0.0218,***,0.0
granite-4.2-30b-vf-lp,ghetto_rate,green_yellow,Color (Green/Yellow),5,9.1541,4.007737,10000,***,1e-06,paired t,0.0119,***,0.0
granite-4.2-30b-vf-lp,ghetto_rate,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,9.1441,3.998166,10000,,,,0.0019,**,0.004616
